,IP,URL,Suffix
0,220.158.252.198,css.lc1001.com,com
1,157.112.152.47,s.w.org,org
2,93.186.242.77,ajax.googleapis.com,com
3,188.210.221.79,1.gravatar.com,com
4,104.119.11.228,players.brightcove.net,net
5,49.212.235.73,secure.gravatar.com,com
6,80.172.222.140,x.bidswitch.net,net
7,192.0.66.24,dsum-sec.casalemedia.com,com
8,46.30.215.117,c0.wp.com,com
9,52.200.238.62,image.isu.pub,pub
10,210.245.8.141,instantsearch.sapoapps.vn,vn
11,45.135.222.5,guanggao.525191.com,com
12,51.77.198.96,no.rayhaber.com,com
13,183.90.255.4,2.gravatar.com,com
14,81.0.235.104,s3a.estranky.cz,cz
15,104.18.2.43,thesouthernreporter.co.uk,co.uk
16,103.251.44.198,c0.wp.com,com
17,45.173.1.147,fonts.googleapis.com,com
18,23.221.227.166,push-data.abs-cbn.com,com
19,172.67.188.79,s.gravatar.com,com
20,52.85.144.50,code.jquery.com,com
21,104.21.38.200,s0.wp.com,com
22,183.79.217.124,gyao.c.yimg.jp,jp
23,46.30.215.172,v0.wordpress.com,com
24,80.211.10.159,google.com,com
25,190.2.139.23,sv.prostitutkikirovadosug.com,com
26,104.21.88.172,maps.google.com,com
27,205.204.101.142,atmamos.alicdn.com,com
28,104.21.51.187,fonts.googleapis.com,com
29,51.210.210.125,manualpdf.com.br,com.br
30,52.95.119.167,completion.amazon.com,com
31,172.67.70.62,adv.r7.com,com
32,185.51.191.55,s.w.org,org
33,68.133.47.154,public-api.wordpress.com,com
34,46.28.106.29,fonts.googleapis.com,com
35,49.12.165.216,wl-incrivel.cf.tsp.li,li
36,177.47.177.54,fonts.googleapis.com,com
37,217.16.182.185,fonts.googleapis.com,com
38,54.205.145.147,fonts.googleapis.com,com
39,37.59.234.127,google-analytics.com,com
40,91.236.153.76,securepubads.g.doubleclick.net,net
41,74.208.236.234,s.w.org,org
42,52.85.144.25,ping.chartbeat.net,net
43,66.7.223.202,s.w.org,org
44,67.22.43.8,dutchporn.eu,eu
45,136.179.7.109,google.com,com
46,192.0.78.24,architecturalenvironmentalstrategies.wordpress.com,com
47,64.235.55.10,fonts.gstatic.com,com
48,99.84.189.59,hu.123rf.com,com
49,163.43.80.39,s.w.org,org
50,104.112.235.107,bidder.criteo.com,com
51,91.222.6.82,b92.net,net
52,192.82.62.105,fonts.googleapis.com,com
53,192.0.78.213,ad.doubleclick.net,net
54,207.55.244.103,1.gravatar.com,com
55,52.119.45.60,s.w.org,org
56,5.134.8.132,fonts.googleapis.com,com
57,52.202.84.170,buyersguide.sailmagazine.com,com
58,18.197.205.12,de.langenscheidt.com,com
59,168.235.99.142,fr.tianfuchem.com,com
60,104.21.67.158,ajax.googleapis.com,com
